,词,TFIDF
0,芦笋,0.01932825818659557
1,闽宁,0.019283583658010323
2,冷库,0.011570150194806195
3,援宁,0.011274817275514083
4,协作,0.011125300561286865
5,中非,0.010953916115464526
6,亿人,0.008999005707071486
7,预防,0.006427861219336775
8,福建,0.005718063304525231
9,南水北调,0.005476958057732263
10,罢工,0.005476958057732263
11,宁夏,0.005220855367889467
12,菌草,0.00514228897546942
13,田头,0.00514228897546942
14,残疾,0.00514228897546942
15,美军,0.004885806467171122
16,塞上江南,0.0048320645466488924
17,山海,0.0048320645466488924
18,瑞云,0.0048320645466488924
19,验收,0.0048320645466488924
20,夏收,0.0048320645466488924
21,致残,0.0048320645466488924
22,清洁工,0.0048320645466488924
23,中线,0.004802281527592063
24,叙利亚,0.004776087712673502
25,社会保障,0.00438156644618581
26,25,0.004101420555144824
27,西海固,0.003856716731602065
28,转向,0.003856716731602065
29,证件,0.003856716731602065
30,缺陷,0.003856716731602065
31,兰考,0.003856716731602065
32,多年,0.0034898617622650873
33,空袭,0.0034231694034728816
34,东西部,0.0032861748346393574
35,工作队,0.0032861748346393574
36,棚里,0.003221376364432595
37,热带,0.003221376364432595
38,第十二,0.003221376364432595
39,1997,0.003221376364432595
40,李辉,0.003221376364432595
41,批援宁,0.003221376364432595
42,军士,0.003221376364432595
43,退休证,0.003221376364432595
44,中国人民武装警察部队,0.003221376364432595
45,警士,0.003221376364432595
46,现行,0.003221376364432595
47,已过,0.003221376364432595
48,九成,0.003221376364432595
49,涟水县,0.003221376364432595
50,红窑,0.003221376364432595
51,产地,0.003221376364432595
52,投建,0.003221376364432595
53,库容,0.003221376364432595
54,移动式,0.003221376364432595
55,综保区,0.003221376364432595
56,代尔,0.003221376364432595
57,司令部,0.003221376364432595
58,族裔,0.003221376364432595
59,枪手,0.003221376364432595
60,爱丁堡,0.003221376364432595
61,港口,0.002915830952214191
62,帮扶,0.0028533137566441216
63,农业,0.0026722861642143616
64,第五届,0.00257114448773471
65,汗水,0.00257114448773471
66,续写,0.00257114448773471
67,新的篇章,0.00257114448773471
68,报名,0.00257114448773471
69,市场化,0.00257114448773471
70,一期,0.00257114448773471
71,地头,0.00257114448773471
72,保鲜,0.00257114448773471
73,干预,0.00257114448773471
74,伤害,0.00257114448773471
75,登陆,0.00257114448773471
76,驾车,0.00257114448773471
77,对口,0.0025673770526046615
78,工作者,0.0025673770526046615
79,江苏省,0.0025673770526046615
80,扶贫,0.0025413614686778806
81,基金,0.00231082701959253
82,小麦,0.00231082701959253
83,夏粮,0.00231082701959253
84,销售,0.00231082701959253
85,李克强,0.002225798674242838
86,好日子,0.002190783223092905
87,致辞,0.002190783223092905
88,全军,0.002190783223092905
89,泊位,0.002190783223092905
90,小型,0.002190783223092905
91,第七届,0.002190783223092905
92,台风,0.002190783223092905
93,国防部长,0.002190783223092905
94,非洲,0.002122705650077112
95,无人机,0.002122705650077112
96,当年,0.0020939170573590522
97,人群,0.0020939170573590522
98,列车,0.0020939170573590522
99,枪击,0.0020939170573590522
100,工程,0.0020556047417033554
101,伊朗,0.002042974681190252
102,农产品,0.002038081254745801
103,种植,0.001972522055817313
104,论坛,0.0019438873014761273
105,援助,0.001920912611036825
106,中国人民解放军,0.001920912611036825
107,失业,0.001920912611036825
108,航道,0.001920912611036825
109,穿越,0.001920912611036825
110,进度,0.001920912611036825
111,30%,0.001920912611036825
112,出生,0.001920912611036825
113,疾病,0.001920912611036825
114,涵盖,0.001920912611036825
115,武装人员,0.001920912611036825
116,智慧,0.0019060211015084103
117,80,0.0019060211015084103
