,词,TFIDF
0,佩洛西,0.008034078664325683
1,航天员,0.007287163143648596
2,原则,0.006668905218369636
3,领土完整,0.0066019357321117095
4,外交部,0.006427262931460547
5,战区,0.0061782558647739206
6,三名,0.006110297516877484
7,问天,0.006110297516877484
8,动画,0.006110297516877484
9,西藏,0.006057624927219343
10,台湾,0.005530739848861793
11,主权,0.005368456045034878
12,十四号,0.004876939544350891
13,出舱,0.004876939544350891
14,民族团结,0.004870189013217945
15,海洋,0.0048581087624323975
16,边境,0.0043287053192195635
17,神舟,0.00415547138045736
18,乘组,0.00415547138045736
19,实验舱,0.00415547138045736
20,一手,0.004073531677918323
21,姜晓栋,0.004073531677918323
22,环控,0.004073531677918323
23,斯里兰卡,0.004073531677918323
24,不得人心,0.004073531677918323
25,蒙巴萨,0.004073531677918323
26,巴盖里,0.004073531677918323
27,暂停,0.0040170393321628415
28,雪域,0.003896151210574357
29,肯尼亚,0.003643581571824298
30,稳住,0.0035304319227279553
31,市场主体,0.0035304319227279553
32,624,0.003251293029567261
33,模范,0.003251293029567261
34,践踏,0.003251293029567261
35,生保,0.003251293029567261
36,阿联酋,0.003251293029567261
37,服务部,0.003251293029567261
38,码头,0.003251293029567261
39,维也纳,0.003251293029567261
40,企稳,0.0032465289894146724
41,取消,0.0032465289894146724
42,空间站,0.0032465289894146724
43,重申,0.0032136314657302736
44,奉行,0.0032136314657302736
45,上半年,0.0032069779026455345
46,东部,0.003092661377308219
47,美国国会,0.0029341936587163157
48,议长,0.0029341936587163157
49,台岛,0.0029221134079307673
50,实战,0.0029221134079307673
51,一项项,0.0027703142536382405
52,韧性,0.0027703142536382405
53,小康村,0.0027703142536382405
54,按计划,0.0027703142536382405
55,不顾,0.0027703142536382405
56,执意,0.0027703142536382405
57,顺差,0.0027703142536382405
58,高原,0.002684228022517439
59,里程,0.002684228022517439
60,火力,0.002647823942045966
61,中国台湾地区,0.002647823942045966
62,青藏高原,0.0024290543812161987
63,多公里,0.0024290543812161987
64,模拟,0.0024290543812161987
65,陆军,0.0024290543812161987
66,中美,0.0024290543812161987
67,动车组,0.0024290543812161987
68,斯科夫,0.0024290543812161987
69,基本准则,0.0024290543812161987
70,联合公报,0.0024290543812161987
71,中美关系,0.0024290543812161987
72,内政,0.002410223599297705
73,北约,0.002410223599297705
74,公路,0.0022006452440372364
75,全区,0.0022006452440372364
76,反对,0.0022006452440372364
77,国家主权,0.0022006452440372364
78,各族群众,0.0021643526596097818
79,160,0.0021643526596097818
80,演练,0.0021643526596097818
81,海上,0.0021643526596097818
82,秘书,0.0021643526596097818
83,不可分割,0.0021643526596097818
84,展开,0.002061774251538813
85,艰巨,0.0020367658389591615
86,繁重,0.0020367658389591615
87,由降,0.0020367658389591615
88,转升,0.0020367658389591615
89,宏观,0.0020367658389591615
90,微观,0.0020367658389591615
91,等七大,0.0020367658389591615
92,组合式,0.0020367658389591615
93,2.64,0.0020367658389591615
94,13.68,0.0020367658389591615
95,9192,0.0020367658389591615
96,助企纾困,0.0020367658389591615
97,送来,0.0020367658389591615
98,及时雨,0.0020367658389591615
99,喜获丰收,0.0020367658389591615
100,143.4,0.0020367658389591615
101,用气,0.0020367658389591615
102,654,0.0020367658389591615
103,59%,0.0020367658389591615
104,基数,0.0020367658389591615
105,15.7%,0.0020367658389591615
106,9.5,0.0020367658389591615
107,位势,0.0020367658389591615
108,网络设施,0.0020367658389591615
109,显示器,0.0020367658389591615
110,出货,0.0020367658389591615
