,词,TFIDF
0,甘肃,0.013638774559247958
1,聂海胜,0.009099065194714219
2,航天员,0.00759610487734859
3,神舟,0.007425675408003297
4,编组,0.005459439116828532
5,出征,0.005459439116828532
6,古都,0.005459439116828532
7,总值,0.004357456317846106
8,种养,0.004357456317846106
9,征集,0.004357456317846106
10,塞尔维亚,0.004357456317846106
11,尼泊尔,0.004357456317846106
12,外贸,0.004351424841698705
13,太空,0.004340631358484909
14,原则,0.004206031683595326
15,领土完整,0.003932472582349529
16,载人,0.003867619061051502
17,飞行,0.0037128377040016483
18,乘组,0.0037128377040016483
19,2758,0.0037128377040016483
20,赞比亚,0.0037128377040016483
21,元古堆,0.003639626077885688
22,专责,0.003639626077885688
23,10.4%,0.003639626077885688
24,外汇储备,0.003639626077885688
25,外汇市场,0.003639626077885688
26,河蟹,0.003639626077885688
27,轮作,0.003639626077885688
28,预设,0.003639626077885688
29,十号,0.003639626077885688
30,十二号,0.003639626077885688
31,飞船,0.003639626077885688
32,交会,0.003639626077885688
33,不断创新,0.003639626077885688
34,皇家,0.003639626077885688
35,京味,0.003639626077885688
36,会馆,0.003639626077885688
37,大学生,0.003639626077885688
38,二连浩特,0.003639626077885688
39,白朗,0.003639626077885688
40,办事处,0.003639626077885688
41,联合国秘书处,0.003639626077885688
42,赤道几内亚,0.003639626077885688
43,遵守,0.0034811398733589644
44,埃及,0.0034811398733589644
45,联合国大会,0.0032554735188636812
46,老百姓,0.003154376376109874
47,攻坚,0.0030177442120735963
48,75,0.002904970878564071
49,补给,0.002904970878564071
50,地块,0.002904970878564071
51,阵位,0.002904970878564071
52,南北,0.002904970878564071
53,三次,0.002904970878564071
54,六号,0.002904970878564071
55,出入境,0.002904970878564071
56,维也纳,0.002904970878564071
57,利比里亚,0.002904970878564071
58,国务部长,0.002904970878564071
59,演练,0.0029007142957886266
60,空中,0.0029007142957886266
61,空间站,0.0029007142957886266
62,恪守,0.0029007142957886266
63,外交部,0.0028713209598416754
64,反对,0.00262164838823302
65,贫困县,0.0026108549050192233
66,以色列,0.0026108549050192233
67,文化,0.002544370172642091
68,国家外汇管理局,0.002475225136001099
69,毕业生,0.002475225136001099
70,失控,0.002475225136001099
71,克兰,0.002475225136001099
72,脊髓灰质炎,0.002475225136001099
73,主权,0.0023983086624082685
74,决议,0.0023657822820824055
75,共产党,0.0021703156792424543
76,摘帽,0.0021703156792424543
77,上游,0.0021703156792424543
78,海关,0.0021703156792424543
79,月末,0.0021703156792424543
80,轰炸机,0.0021703156792424543
81,两名,0.0021703156792424543
82,文化产业,0.0021703156792424543
83,一贯,0.0021703156792424543
84,肯尼亚,0.0021703156792424543
85,基本准则,0.0021703156792424543
86,加沙,0.0021703156792424543
87,杰哈德,0.0021703156792424543
88,扶贫,0.0021534907198812567
89,黄河,0.0021534907198812567
90,行径,0.0021534907198812567
91,进出口,0.002103015841797663
92,海南,0.002103015841797663
93,脱贫,0.002090246093471329
94,红色,0.002011829474715731
95,流域,0.0019662362911747645
96,推广,0.0019662362911747645
97,国家主权,0.0019662362911747645
98,发动,0.0019662362911747645
99,58,0.001933809530525751
100,传统产业,0.001933809530525751
101,东盟,0.001933809530525751
102,多型,0.001933809530525751
103,台湾海峡,0.001933809530525751
104,总干事,0.001933809530525751
105,格罗,0.001933809530525751
106,短缺,0.001933809530525751
107,工作人员,0.001933809530525751
108,火灾,0.001933809530525751
109,着想,0.001819813038942844
110,办事,0.001819813038942844
111,紧盯,0.001819813038942844
112,两不愁,0.001819813038942844
113,责任人,0.001819813038942844
114,7.45,0.001819813038942844
115,定西市,0.001819813038942844
116,渭源县,0.001819813038942844
117,黄泥,0.001819813038942844
118,1465,0.001819813038942844
119,12400,0.001819813038942844
120,着力点,0.001819813038942844
121,菜果,0.001819813038942844
122,薯药,0.001819813038942844
123,担负起,0.001819813038942844
124,重任,0.001819813038942844
125,沿黄,0.001819813038942844
126,513,0.001819813038942844
127,相邻,0.001819813038942844
128,签订,0.001819813038942844
129,花红柳绿,0.001819813038942844
130,打卡,0.001819813038942844
131,石油化工,0.001819813038942844
132,有色,0.001819813038942844
133,冶金,0.001819813038942844
134,1293.4,0.001819813038942844
135,24.7%,0.001819813038942844
136,5393,0.001819813038942844
137,10243,0.001819813038942844
138,1425,0.001819813038942844
139,海关总署,0.001819813038942844
140,23.6,0.001819813038942844
141,13.37,0.001819813038942844
142,14.7%,0.001819813038942844
143,10.23,0.001819813038942844
144,5.3%,0.001819813038942844
145,15.17,0.001819813038942844
146,14.5%,0.001819813038942844
147,3.53,0.001819813038942844
148,2.93,0.001819813038942844
149,13.2%,0.001819813038942844
150,11.8%,0.001819813038942844
151,19.8%,0.001819813038942844
152,31041,0.001819813038942844
153,328,0.001819813038942844
154,升幅,0.001819813038942844
155,1.07%,0.001819813038942844
156,供求,0.001819813038942844
157,国际收支,0.001819813038942844
158,汇率,0.001819813038942844
159,基本面,0.001819813038942844
160,力促,0.001819813038942844
161,病虫,0.001819813038942844
