,词,TFIDF
0,罚款,0.010872782705493866
1,栖息地,0.009060652254578222
2,贺兰县,0.008678121447784277
3,高粱,0.007248521803662577
4,查干湖,0.007248521803662577
5,亚洲象,0.005785414298522851
6,家电,0.005785414298522851
7,蓝天白云,0.005436391352746933
8,繁星,0.005436391352746933
9,浓度,0.005436391352746933
10,黄桃,0.005436391352746933
11,用电量,0.005436391352746933
12,稳态,0.005436391352746933
13,事项,0.0047115896214137195
14,闪烁,0.0043390607238921386
15,苹果,0.0043390607238921386
16,晚会,0.0043390607238921386
17,清洁,0.0039158711149834095
18,取消,0.0038512913816380915
19,议程,0.0036971634551193192
20,排放,0.0036971634551193192
21,果农,0.0036971634551193192
22,强磁场,0.0036971634551193192
23,清晰可见,0.0036242609018312887
24,空气污染,0.0036242609018312887
25,警戒线,0.0036242609018312887
26,钢铁厂,0.0036242609018312887
27,厂区,0.0036242609018312887
28,喷雾,0.0036242609018312887
29,钢铁,0.0036242609018312887
30,微克,0.0036242609018312887
31,立方米,0.0036242609018312887
32,设定,0.0036242609018312887
33,渔工,0.0036242609018312887
34,农旅,0.0036242609018312887
35,410,0.0036242609018312887
36,供货商,0.0036242609018312887
37,磁体,0.0036242609018312887
38,磁场,0.0036242609018312887
39,中秋,0.0036242609018312887
40,山西,0.003466443768352699
41,翻了一番,0.003241730095037344
42,调整,0.0029852298456229565
43,民间,0.0028927071492614257
44,结构调整,0.0028927071492614257
45,蓝天,0.0028927071492614257
46,一层,0.0028927071492614257
47,整理,0.0028927071492614257
48,季节,0.0028927071492614257
49,飘香,0.0028927071492614257
50,万寿菊,0.0028927071492614257
51,阻击,0.0028927071492614257
52,常驻,0.0028927071492614257
53,拉脱维亚,0.0028927071492614257
54,2030,0.002888468536228569
55,流调,0.002888468536228569
56,11,0.0028773122610364784
57,小麦,0.0025998328262645245
58,西班牙,0.0025998328262645245
59,伙伴关系,0.002464775636746213
60,实实在在,0.002464775636746213
61,搜索,0.002464775636746213
62,山西省,0.002464775636746213
63,塞上,0.002464775636746213
64,亿千瓦时,0.002464775636746213
65,卢布,0.002464775636746213
66,供气,0.002464775636746213
67,携手,0.0023557948107068597
68,收获,0.0023557948107068597
69,核酸,0.002292975849666516
70,公园,0.002187001438916677
71,装机,0.0021611533966915623
72,月末,0.0021611533966915623
73,维和,0.0021611533966915623
74,万元,0.002144399466182549
75,成熟,0.002144399466182549
76,救治,0.0019579355574917048
77,空气质量,0.0019256456908190458
78,污染,0.0019256456908190458
79,城乡居民,0.0019256456908190458
80,收割,0.0019256456908190458
81,加利福尼亚州,0.0019256456908190458
82,结算,0.0019256456908190458
83,12,0.001890800653256364
84,万亿元,0.001849700739237736
85,河北,0.0018343806797332127
86,江苏,0.0018343806797332127
87,热切,0.0018121304509156444
88,期盼,0.0018121304509156444
89,受阻,0.0018121304509156444
90,坚定信心,0.0018121304509156444
91,和衷共济,0.0018121304509156444
92,切实落实,0.0018121304509156444
93,民意基础,0.0018121304509156444
94,秋冬季,0.0018121304509156444
95,大气污染,0.0018121304509156444
96,环境监测,0.0018121304509156444
97,灰色,0.0018121304509156444
98,笼罩,0.0018121304509156444
99,调取,0.0018121304509156444
100,监测数据,0.0018121304509156444
101,最为,0.0018121304509156444
102,唐山,0.0018121304509156444
103,钢城,0.0018121304509156444
104,钢产量,0.0018121304509156444
105,八分,0.0018121304509156444
106,津西,0.0018121304509156444
107,图片,0.0018121304509156444
108,上方,0.0018121304509156444
109,蒙着,0.0018121304509156444
110,铅灰色,0.0018121304509156444
111,尘雾,0.0018121304509156444
112,焦炭,0.0018121304509156444
113,料场,0.0018121304509156444
114,红外,0.0018121304509156444
115,监测仪,0.0018121304509156444
116,头正,0.0018121304509156444
117,粉尘,0.0018121304509156444
118,抑尘,0.0018121304509156444
119,炼铁,0.0018121304509156444
120,高炉,0.0018121304509156444
121,铁口,0.0018121304509156444
122,集尘,0.0018121304509156444
123,大功率,0.0018121304509156444
124,一网打尽,0.0018121304509156444
125,超低,0.0018121304509156444
126,2619,0.0018121304509156444
127,个尘源,0.0018121304509156444
128,而津西,0.0018121304509156444
129,压减,0.0018121304509156444
130,应是,0.0018121304509156444
131,PM2.5,0.0018121304509156444
132,38.8,0.0018121304509156444
133,光柱,0.0018121304509156444
134,华北地区,0.0018121304509156444
135,度电中,0.0018121304509156444
136,电能,0.0018121304509156444
137,339,0.0018121304509156444
138,双双,0.0018121304509156444
139,星星,0.0018121304509156444
140,确幸,0.0018121304509156444
141,星空,0.0018121304509156444
142,印证,0.0018121304509156444
143,公安,0.0018121304509156444
144,部门规章,0.0018121304509156444
145,关注度,0.0018121304509156444
146,好处,0.0018121304509156444
147,山西太原,0.0018121304509156444
148,忻州,0.0018121304509156444
149,经济区,0.0018121304509156444
150,183,0.0018121304509156444
151,长足进步,0.0018121304509156444
152,329,0.0018121304509156444
153,3365,0.0018121304509156444
154,自然村,0.0018121304509156444
155,55.2%,0.0018121304509156444
156,72.3%,0.0018121304509156444
157,汾河,0.0018121304509156444
158,类及,0.0018121304509156444
159,11.64,0.0018121304509156444
160,5100,0.0018121304509156444
161,3.7,0.0018121304509156444
162,含绿量,0.0018121304509156444
163,轴线,0.0018121304509156444
164,优质化,0.0018121304509156444
165,13.7,0.0018121304509156444
166,4.75,0.0018121304509156444
167,强富,0.0018121304509156444
168,美高,0.0018121304509156444
169,过后,0.0018121304509156444
170,旺盛,0.0018121304509156444
171,嫩江,0.0018121304509156444
172,塔溪乡,0.0018121304509156444
173,麦田,0.0018121304509156444
174,红遍,0.0018121304509156444
175,缓坡,0.0018121304509156444
176,26.25,0.0018121304509156444
177,鱼满舱,0.0018121304509156444
178,淡水湖,0.0018121304509156444
179,禁渔期,0.0018121304509156444
180,捕鱼,0.0018121304509156444
181,拉开序幕,0.0018121304509156444
182,慢慢,0.0018121304509156444
183,大鱼,0.0018121304509156444
184,跃出,0.0018121304509156444
185,这一网,0.0018121304509156444
186,十几万,0.0018121304509156444
187,活鱼,0.0018121304509156444
188,春秋,0.0018121304509156444
189,增放,0.0018121304509156444
190,鱼苗,0.0018121304509156444
191,420,0.0018121304509156444
192,畅游,0.0018121304509156444
193,时间差,0.0018121304509156444
194,早熟,0.0018121304509156444
195,抢占市场,0.0018121304509156444
196,可观,0.0018121304509156444
197,经济效益,0.0018121304509156444
198,赣州,0.0018121304509156444
199,枣阳,0.0018121304509156444
200,放眼望去,0.0018121304509156444
201,翠绿,0.0018121304509156444
202,金黄,0.0018121304509156444
203,桃林,0.0018121304509156444
204,鲜果,0.0018121304509156444
205,炎陵,0.0018121304509156444
206,美誉,0.0018121304509156444
207,万桃农,0.0018121304509156444
208,纳雍,0.0018121304509156444
209,竞相,0.0018121304509156444
210,美不胜收,0.0018121304509156444
211,经济作物,0.0018121304509156444
212,花期,0.0018121304509156444
213,观赏,0.0018121304509156444
214,清热解毒,0.0018121304509156444
215,化痰止咳,0.0018121304509156444
216,药用价值,0.0018121304509156444
217,银川平原,0.0018121304509156444
218,西倚,0.0018121304509156444
219,东临,0.0018121304509156444
220,夏秋之,0.0018121304509156444
221,立岗镇,0.0018121304509156444
222,数万斤,0.0018121304509156444
223,新鲜,0.0018121304509156444
224,番茄,0.0018121304509156444
225,大米,0.0018121304509156444
226,酿酒,0.0018121304509156444
227,94.5%,0.0018121304509156444
228,26715,0.0018121304509156444
229,区为,0.0018121304509156444
230,港澳台,0.0018121304509156444
231,各界人士,0.0018121304509156444
232,5154,0.0018121304509156444
233,8992,0.0018121304509156444
234,名新冠,0.0018121304509156444
235,近千名,0.0018121304509156444
236,机关干部,0.0018121304509156444
237,127,0.0018121304509156444
238,主城区,0.0018121304509156444
239,常用,0.0018121304509156444
240,用品,0.0018121304509156444
241,648,0.0018121304509156444
242,1305,0.0018121304509156444
243,1203,0.0018121304509156444
244,4062,0.0018121304509156444
245,342724.6,0.0018121304509156444
246,大象,0.0018121304509156444
247,动植物,0.0018121304509156444
248,生存环境,0.0018121304509156444
249,分布区,0.0018121304509156444
250,中国人民银行,0.0018121304509156444
251,广义,0.0018121304509156444
252,M2,0.0018121304509156444
253,257.81,0.0018121304509156444
254,334.9,0.0018121304509156444
255,10.7%,0.0018121304509156444
256,14.35,0.0018121304509156444
257,5150,0.0018121304509156444
258,以旧换新,0.0018121304509156444
259,下乡,0.0018121304509156444
260,家电网,0.0018121304509156444
261,购节,0.0018121304509156444
262,49303,0.0018121304509156444
263,3.4%,0.0018121304509156444
264,第一产业,0.0018121304509156444
265,11.1%,0.0018121304509156444
266,第二产业,0.0018121304509156444
267,1.1%,0.0018121304509156444
268,8324,0.0018121304509156444
269,灾损,0.0018121304509156444
270,水毁,0.0018121304509156444
271,堤坝,0.0018121304509156444
272,涵闸,0.0018121304509156444
273,混合,0.0018121304509156444
274,45.22,0.0018121304509156444
275,高斯,0.0018121304509156444
276,刷新,0.0018121304509156444
277,世界纪录,0.0018121304509156444
278,新途径,0.0018121304509156444
279,一大,0.0018121304509156444
280,利器,0.0018121304509156444
281,昨日,0.0018121304509156444
282,乘专机,0.0018121304509156444
283,凯旋,0.0018121304509156444
284,期内,0.0018121304509156444
285,销毁,0.0018121304509156444
286,2300,0.0018121304509156444
287,余平方米,0.0018121304509156444
288,百项,0.0018121304509156444
289,接诊,0.0018121304509156444
290,余人次,0.0018121304509156444
291,西宁,0.0018121304509156444
292,企业家,0.0018121304509156444
293,深入探讨,0.0018121304509156444
294,张家港,0.0018121304509156444
295,整台,0.0018121304509156444
296,明月,0.0018121304509156444
297,皓月,0.0018121304509156444
298,精神状态,0.0018121304509156444
299,说法,0.0018121304509156444
300,荒谬,0.0018121304509156444
301,专家团,0.0018121304509156444
302,专家组,0.0018121304509156444
303,基斯,0.0018121304509156444
304,利茨亚,0.0018121304509156444
305,核设施,0.0018121304509156444
306,试错,0.0018121304509156444
307,从根本上,0.0018121304509156444
308,恐俄症,0.0018121304509156444
309,喜欢,0.0018121304509156444
310,放进,0.0018121304509156444
311,类别,0.0018121304509156444
312,傲慢,0.0018121304509156444
313,美国防,0.0018121304509156444
314,奥斯汀,0.0018121304509156444
315,俄新社,0.0018121304509156444
316,持有,0.0018121304509156444
317,签发,0.0018121304509156444
318,申根,0.0018121304509156444
319,想方设法,0.0018121304509156444
320,10768,0.0018121304509156444
321,洛杉矶,0.0018121304509156444
322,时报,0.0018121304509156444
323,大幅度,0.0018121304509156444
324,学家,0.0018121304509156444
325,德恩迈兹,0.0018121304509156444
326,原则性,0.0018121304509156444
327,俄土,0.0018121304509156444
328,公寓,0.0018121304509156444
329,把玩,0.0018121304509156444
330,争执,0.0018121304509156444
331,持枪,0.0018121304509156444
332,闯入,0.0018121304509156444
333,美国联邦调查局,0.0018121304509156444
334,办公楼,0.0018121304509156444
335,气象局,0.0018121304509156444
336,泰晤士河,0.0018121304509156444
337,发电厂,0.0018121304509156444
338,切实,0.001791137907373774
339,幸福感,0.0017332218841763496
340,流程,0.0017332218841763496
341,采摘,0.0017332218841763496
342,上市,0.0017332218841763496
343,隔离,0.0017332218841763496
344,辽宁省,0.0017332218841763496
345,访问,0.0017332218841763496
346,费用,0.0017332218841763496
347,发现,0.0016779522424694197
348,智能,0.0016402510791875078
349,种植,0.0015851553045618208
350,大力发展,0.0015705298738045732
351,方舱,0.0015705298738045732
352,枪支,0.0015705298738045732
353,永恒,0.0014463535746307129
354,向往,0.0014463535746307129
355,齐心协力,0.0014463535746307129
356,广大群众,0.0014463535746307129
357,保卫战,0.0014463535746307129
358,回到,0.0014463535746307129
359,达标,0.0014463535746307129
360,七个,0.0014463535746307129
361,厂房,0.0014463535746307129
362,超标,0.0014463535746307129
363,封闭,0.0014463535746307129
364,风机,0.0014463535746307129
365,烟尘,0.0014463535746307129
366,风电,0.0014463535746307129
367,地级,0.0014463535746307129
368,39,0.0014463535746307129
369,频次,0.0014463535746307129
370,热度,0.0014463535746307129
371,市场监管,0.0014463535746307129
372,法规,0.0014463535746307129
373,名称,0.0014463535746307129
374,1.17,0.0014463535746307129
375,2.26,0.0014463535746307129
376,整村,0.0014463535746307129
377,比率,0.0014463535746307129
378,国考,0.0014463535746307129
379,东西,0.0014463535746307129
380,南北,0.0014463535746307129
381,办好,0.0014463535746307129
382,实事,0.0014463535746307129
383,立秋,0.0014463535746307129
384,黑河,0.0014463535746307129
385,千亩,0.0014463535746307129
386,5.5,0.0014463535746307129
387,应收,0.0014463535746307129
388,19.6%,0.0014463535746307129
389,晴好,0.0014463535746307129
390,西北部,0.0014463535746307129
391,收网,0.0014463535746307129
392,一条条,0.0014463535746307129
393,水面,0.0014463535746307129
394,两季,0.0014463535746307129
395,瓜果,0.0014463535746307129
396,西吉县,0.0014463535746307129
397,正忙着,0.0014463535746307129
398,装箱,0.0014463535746307129
399,挂满,0.0014463535746307129
400,枝头,0.0014463535746307129
401,之中,0.0014463535746307129
402,3.6,0.0014463535746307129
403,鲜花,0.0014463535746307129
404,连片,0.0014463535746307129
405,种植业,0.0014463535746307129
406,贺兰山,0.0014463535746307129
407,销往,0.0014463535746307129
408,纯收入,0.0014463535746307129
409,渔业,0.0014463535746307129
410,方位,0.0014463535746307129
411,必然趋势,0.0014463535746307129
412,发展期,0.0014463535746307129
413,床位数,0.0014463535746307129
414,充实,0.0014463535746307129
415,定点医院,0.0014463535746307129
416,卫健委,0.0014463535746307129
417,抽调,0.0014463535746307129
418,伊宁市,0.0014463535746307129
419,网格,0.0014463535746307129
420,704,0.0014463535746307129
421,林草局,0.0014463535746307129
422,自然保护区,0.0014463535746307129
423,货币,0.0014463535746307129
424,余额,0.0014463535746307129
425,多增,0.0014463535746307129
426,委等,0.0014463535746307129
427,第三产业,0.0014463535746307129
428,4.6%,0.0014463535746307129
429,12.5%,0.0014463535746307129
430,6.3%,0.0014463535746307129
431,江河湖泊,0.0014463535746307129
432,科学研究,0.0014463535746307129
433,列为,0.0014463535746307129
434,科学实验,0.0014463535746307129
435,化学,0.0014463535746307129
436,学科,0.0014463535746307129
437,地雷,0.0014463535746307129
438,余枚,0.0014463535746307129
439,排雷,0.0014463535746307129
440,电力系统,0.0014463535746307129
441,千秋,0.0014463535746307129
442,安保,0.0014463535746307129
443,早日,0.0014463535746307129
444,解除,0.0014463535746307129
445,议会,0.0014463535746307129
446,表现,0.0014463535746307129
447,无耻,0.0014463535746307129
448,爱沙尼亚,0.0014463535746307129
449,签证,0.0014463535746307129
450,入境,0.0014463535746307129
451,削弱,0.0014463535746307129
452,33.9%,0.0014463535746307129
453,1892,0.0014463535746307129
454,索契,0.0014463535746307129
455,一栋,0.0014463535746307129
456,俄亥俄州,0.0014463535746307129
457,辛辛那提,0.0014463535746307129
458,对峙,0.0014463535746307129
459,交火,0.0014463535746307129
460,源头,0.0014463535746307129
461,大片,0.0014463535746307129
462,林地,0.0014463535746307129
463,美好生活,0.0014295996441216995
464,管控,0.0014295996441216995
465,整体,0.0014295996441216995
466,多家,0.0014295996441216995
467,增收,0.0014295996441216995
468,土耳其,0.0014295996441216995
469,法国,0.0014295996441216995
470,全省,0.0013960917831036727
471,海南,0.0013960917831036727
472,人类,0.0013757855097999096
473,2013,0.0013757855097999096
474,越来越,0.0013757855097999096
475,各国,0.0013052903716611365
476,黑龙江,0.0013052903716611365
477,宁夏,0.0013052903716611365
